Item,Mean,Var,Alpha,Beta,Beta_Params,Mixed_Means,Mixed_Stds,Raw_Distrib,Discrete_Distrib,Sentence
54841:46,0.4122222222222222,0.11859506172839501,0.3320491104376978,0.6107223174944165,(0.3320491104376978  0.6107223174944165),[0.19210175 0.84468244],[0.09144121610988243  0.13514076963357155],[0.13  0.09  0.02  0.6  0.98  0.98  0.24  0.4  0.27],[0.33333333 0.22222222 0.11111111 0.         0.11111111 0. 0.22222222],"do you go by the ads  when you look at them , or the reviews."
31336:20,0.34444444444444444,0.07313580246913581,0.9441587384746893,0.6066629459409676,(0.9441587384746893  0.6066629459409676),[0.79000368 0.21720254],[0.01415980959532623  0.10252862151488798],[0.41  0.0  0.81  0.18  0.31  0.77  0.06  0.18  0.38],[0.11111111 0.22222222 0.33333333 0.         0.         0.22222222 0.        ],"can they convey the data verbally or in writing."
68507:73,0.42555555555555546,0.12078024691358026,1.3379640900233736,0.8781299728242763,(1.3379640900233736  0.8781299728242763),[0.124      0.80250001],[0.05578978380386977  0.06410831330565363],[0.06  0.73  0.23  0.92  0.21  0.05  0.7  0.86  0.07],[0.33333333 0.22222222 0.         0.         0.11111111 0.11111111 0.22222222],"well wh-, do you think that, uh, consumer goods, goods are generally getting better, or worse in quality."
93019:124,0.5588888888888889,0.1150320987654321,0.5946615153408745,0.46932801435232496,(0.5946615153408745  0.46932801435232496),[0.12970082 0.77200336],[0.05292418397716836  0.12745090401200204],[0.5  0.21  0.92  0.15  0.59  1.0  0.76  0.03  0.87],[0.11111111 0.22222222 0.         0.11111111 0.11111111 0.11111111 0.33333333],"and i, and that concerned me, that people were using it as a way to get rid  of things they just didn't want  to set  at the curb or take to the dump ,"
31526:59,0.68,0.10128888888888889,1.8997762490632955,0.7202646683226759,(1.8997762490632955  0.7202646683226759),[0.97305739 0.46024428],[0.02070213506604425  0.17875686176342875],[0.61  0.93  0.39  1.0  0.0  1.0  0.67  0.56  0.96],[0.         0.         0.11111111 0.11111111 0.22222222 0. 0.44444444],"i mean, you don't know whether the person sitting next to you anywhere is on drugs or not,"
173510:113,0.5766666666666667,0.12439999999999997,0.15591397710682525,0.12118260647104515,(0.15591397710682525  0.12118260647104515),[0.886 0.19 ],[0.039401778981668883  0.05874095591373134],[0.08  0.26  0.85  0.89  0.87  0.28  0.14  0.99  0.83],[0.22222222 0.22222222 0.         0.         0.         0.22222222 0.33333333],"well, it seems like, well it, it seems as if in the past typically there have been a lot of cases of people being wrongly tried  or wrongly punished ,"
48899:163,0.48777777777777764,0.12219506172839506,1.4966465726202818,0.5609189957117793,(1.4966465726202818  0.5609189957117793),[0.78400347 0.11757344],[0.03567236437807001  0.11183277675167448],[0.73  0.76  0.81  0.05  0.87  0.39  0.01  0.75  0.02],[0.33333333 0.         0.11111111 0.         0.         0.44444444 0.11111111],"you know, that's, that's no kind of deterrent because we, we've got literally hundreds of people on death row, and, and many of them who  have been there  for literally for ten or fifteen years on death row,"
173464:69,0.47,0.14437777777777777,1.4822940457380405,0.7794844609690321,(1.4822940457380405  0.7794844609690321),[0.0724947  0.78790112],[0.026169384709583656  0.12514084019068364],[0.06  0.63  0.94  0.12  0.09  0.54  0.02  1.0  0.83],[0.44444444 0.         0.         0.11111111 0.11111111 0.11111111 0.22222222],"well i think that currently the way the law stands  isn't so much that the laws are enforceable or not,"
76507:42,0.34111111111111103,0.08814320987654323,0.3837420820307495,0.6093854525517708,(0.3837420820307495  0.6093854525517708),[0.09391446 0.64895366],[0.02847555985614159  0.11186820056296486],[0.12  0.9  0.55  0.66  0.07  0.16  0.05  0.07  0.49],[0.44444444 0.11111111 0.         0.22222222 0.11111111 0. 0.11111111],"i'm not sure if it's more a problem with american families or a problem with the school system."
34104:22,0.5844444444444447,0.1496246913580247,0.41650030921809006,0.27134479508060305,(0.41650030921809006  0.27134479508060305),[0.07996892 0.83651901],[0.04358918033223663  0.12606410054276662],[0.07  0.01  1.0  1.0  0.16  0.99  0.68  0.54  0.81],[0.22222222 0.11111111 0.         0.11111111 0.11111111 0.11111111 0.33333333],"you can make it either tight or as loose as loose can get."
122984:94,0.44999999999999996,0.07717777777777779,1.3392175238433028,0.8743488200375225,(1.3392175238433028  0.8743488200375225),[0.10483976 0.60849282],[0.048991457097993935  0.12367006422893256],[0.07  0.21  0.39  0.52  0.55  0.05  0.91  0.65  0.7],[0.22222222 0.11111111 0.11111111 0.22222222 0.22222222 0. 0.11111111],"well, i know if they make the advances that they have been making , that, uh, maybe age will no longer, age or even physical, uh, abilities may not be, uh, a barrier anymore."
126911:45,0.7533333333333334,0.10553333333333334,0.7611664477491602,0.22862070125758496,(0.7611664477491602  0.22862070125758496),[0.33927957 0.96353677],[0.1622911662383097  0.02395398207575321],[0.46  0.97  1.0  0.99  0.02  0.52  0.94  0.98  0.9],[0.11111111 0.         0.         0.22222222 0.         0. 0.66666667],"now, that's one i have watched , oh, six or eight times."
132615:33,0.5822222222222222,0.09001728395061728,0.6178609924669622,0.4004918825989328,(0.6178609924669622  0.4004918825989328),[0.27966973 0.82576998],[0.12039369857960405  0.055424426201011616],[0.8  0.79  0.08  0.79  0.31  0.98  0.77  0.53  0.19],[0.11111111 0.11111111 0.11111111 0.11111111 0.         0.44444444 0.11111111],"now, i don't know if that's true or not,"
49825:209,0.2511111111111111,0.09254320987654321,0.20991663206036895,0.6320684003133367,(0.20991663206036895  0.6320684003133367),[0.10019593 0.76859576],[0.08194920723522543  0.09469349829507072],[0.12  0.0  0.06  0.9  0.07  0.37  0.0  0.09  0.65],[0.44444444 0.         0.11111111 0.         0.11111111 0. 0.11111111],"but i think, uh, actually, uh, in, in  trying  to follow, uh, you know the cowboys over the years i think, uh, uh, they used  to have a, um, a philosophy for, well i don't know, probably the last twenty-five years except for about the last about five or six years uh,"
59327:20,0.5175000000000001,0.15291875000000002,1.2603502903259123,0.42621110066610823,(1.2603502903259123  0.42621110066610823),[0.09667771 0.83443642],[0.07822219126923642  0.11191530103964499],[0.6  0.1  1.0  0.0  0.11  0.96  0.63  1.0  0.11  0.77  0.99  0.85  0.36  0.0  0.03  0.77],[0.25   0.     0.0625 0.     0.125  0.1875 0.25  ],"because if you have two or three kids, by the, e-, way the inflation's going  i think a woman's always going  to have  to work"
148422:49,0.5344444444444445,0.11433580246913579,0.4209192606288845,0.42197695986747946,(0.4209192606288845  0.42197695986747946),[0.88270593 0.25704316],[0.06396247749097818  0.11254440751474062],[0.82  0.37  0.21  0.99  0.12  0.95  0.77  0.08  0.5  0.82  0.37  0.21  0.99  0.12  0.95  0.77  0.08  0.5],[0.22222222 0.11111111 0.11111111 0.11111111 0.         0.22222222 0.22222222],"most, most likely i would be listen to, uh, jazz or classical music."
20140:22,0.4766666666666667,0.12353333333333334,0.5500717062718932,0.6089565180991735,(0.5500717062718932  0.6089565180991735),[0.25206589 0.92671695],[0.1268508203835019  0.038449927020212445],[0.11  0.37  0.91  0.47  0.87  0.0  0.43  1.0  0.13],[0.22222222 0.         0.11111111 0.22222222 0.         0. 0.33333333],"and i haven't taken the time or effort to learn what they are ."
146215:108,0.47777777777777775,0.09272839506172839,0.5459429529528215,0.918037717383228,(0.5459429529528215  0.918037717383228),[0.70271838 0.16550953],[0.11587317817287038  0.09062879189289703],[0.66  0.05  0.63  0.72  0.05  0.25  1.0  0.35  0.59],[0.22222222 0.11111111 0.11111111 0.         0.33333333 0.11111111 0.11111111],"but when i washed them , although i took the precaution of  turning them inside out i really didn't do anything else. and truly, everything  fell off, or most of it."
81053:30,0.46666666666666656,0.08402222222222222,0.42289827346559494,0.6025542972550895,(0.42289827346559494  0.6025542972550895),[0.74822539 0.23694932],[0.11069805992933539  0.08698062395581227],[0.69  0.38  0.59  0.75  0.99  0.26  0.23  0.02  0.29],[0.11111111 0.22222222 0.22222222 0.         0.22222222 0.11111111 0.11111111],"it's not as slanted as the new york times or as biased perhaps as the local paper."
165055:25,0.5922222222222221,0.14555061728395058,0.19929865252973983,0.11316654807987944,(0.19929865252973983  0.11316654807987944),[0.85500001 0.06666667],[0.07196989770733879  0.028488790070932305],[0.72  0.83  0.73  0.09  0.94  0.94  0.01  0.97  0.1],[0.33333333 0.         0.         0.         0.         0.33333333 0.33333333],"but then again you look at a ford or especially a chevy."
62411:39,0.22777777777777775,0.15232839506172838,0.011984355558972927,0.03462641417867388,(0.011984355558972927  0.03462641417867388),[0.95500001 0.02      ],[0.03182765165566102  0.02237185807052274],[0.09  1.0  0.04  0.0  0.91  0.0  0.01  0.0  0.0],[0.33333333 0.         0.         0.         0.         0. 0.22222222],"and i don't think you could have done it fifty or a hundred years ago either."
28388:46,0.32666666666666666,0.10093333333333333,0.2475456410063775,0.39983118701526366,(0.2475456410063775  0.39983118701526366),[0.75333212 0.11333373],[0.06936826051690038  0.07091139528186781],[0.0  0.14  0.76  0.2  0.63  0.0  0.27  0.07  0.87],[0.22222222 0.22222222 0.         0.         0.11111111 0.11111111 0.11111111],"not only do i do p c type things like, uh, using lotus or word processors,"
48293:58,0.3122222222222223,0.07259506172839506,0.17968080713713827,0.461371299806571,(0.17968080713713827  0.461371299806571),[0.17428571 0.79500002],[0.058540844464479096  0.0388973057343395],[0.2  0.2  0.85  0.04  0.74  0.24  0.18  0.07  0.29  0.2  0.2  0.85  0.04  0.74  0.24  0.18  0.07  0.29],[0.22222222 0.44444444 0.11111111 0.         0.         0.22222222 0.        ],"i guess i have never heard of a, a robbery being foiled  or spoiled  because the person who 's being robbed  had a gun."
63853:64,0.27888888888888885,0.0664320987654321,0.2290272939745777,0.487018303298467,(0.2290272939745777  0.487018303298467),[0.10499884 0.62664482],[0.03714386409043226  0.07863296578927936],[0.09  0.16  0.16  0.58  0.78  0.52  0.01  0.13  0.08],[0.44444444 0.22222222 0.         0.11111111 0.11111111 0.11111111 0.        ],"i don't know how, how soon they're going  to do it , or how organized it's going  to be ,"
164419:42,0.39999999999999997,0.10417777777777779,0.3445457216552732,0.6192663099272853,(0.3445457216552732  0.6192663099272853),[0.1897444  0.81743541],[0.0824779141787396  0.10483434866605225],[0.85  0.17  0.98  0.05  0.38  0.08  0.16  0.63  0.3],[0.22222222 0.22222222 0.22222222 0.         0.11111111 0.11111111 0.11111111],"huh. do you think they should be punished  at all, or, uh, like go to prison, uh,"
68972:52,0.5211111111111112,0.14745432098765432,0.18719828099593788,0.16403542241908978,(0.18719828099593788  0.16403542241908978),[0.1025     0.85600001],[0.04909047992651842  0.06791538486748994],[0.81  0.72  0.08  0.15  0.92  0.18  0.0  1.0  0.83],[0.11111111 0.22222222 0.         0.         0.         0.33333333 0.22222222],"i, you know, go to cleveland  to see them play, the indians or the red sox,"
57177:94,0.25,0.09222222222222222,0.414650501146423,0.478692191196401,(0.414650501146423  0.478692191196401),[0.15875004 0.98000002],[0.120024932004686  0.0007071067811865475],[0.09  0.33  0.98  0.0  0.15  0.0  0.01  0.18  0.51],[0.22222222 0.22222222 0.11111111 0.11111111 0.         0. 0.11111111],"and, uh, you know, whenever he was going to school , he was expecting  to  having  to wear, uh, a tie or a dress shirt everyday."
94853:37,0.29666666666666663,0.11202222222222222,0.11859842508039675,0.20710582565307267,(0.11859842508039675  0.20710582565307267),[0.75666668 0.06666667],[0.06119595138049333  0.05286723363446542],[0.87  0.01  0.0  0.08  0.74  0.02  0.22  0.66  0.07],[0.44444444 0.11111111 0.         0.         0.11111111 0.11111111 0.11111111],"you know, i wonder if that's a root problem or not,"
145587:30,0.6222222222222222,0.11666172839506173,0.39453280480792347,0.20394681087982758,(0.39453280480792347  0.20394681087982758),[0.85499999 0.15666666],[0.06201881730230022  0.06888355632405849],[0.24  1.0  0.78  0.79  0.21  0.83  0.02  0.95  0.78],[0.11111111 0.22222222 0.         0.         0.         0.44444444 0.22222222],"and yours is at, you know, eighteen or nineteen percent."
26479:17,0.7544444444444444,0.044358024691358015,0.7505584636770102,0.48419089879531785,(0.7505584636770102  0.48419089879531785),[0.48325844 0.88972459],[0.0481210135436432  0.06778744766564036],[0.97  0.98  0.77  0.83  0.55  1.0  0.79  0.51  0.39],[0.         0.         0.11111111 0.22222222 0.         0.33333333 0.33333333],"it's the thirty-five or forty thousand dollar one, whatever it is ,"
77160:37,0.26222222222222225,0.053550617283950615,0.8930549572815984,1.508335072451419,(0.8930549572815984  1.508335072451419),[0.53872314 0.1108804 ],[0.099295873032197  0.06049421750580444],[0.73  0.49  0.26  0.19  0.04  0.1  0.0  0.1  0.45],[0.33333333 0.22222222 0.         0.22222222 0.         0.11111111 0.        ],"an awful lot of people know where it is , or have been there."
4758:85,0.27888888888888885,0.09685432098765433,0.10297002203768371,0.341195428326053,(0.10297002203768371  0.341195428326053),[0.11857107 0.83999372],[0.04495433698184496  0.09193642625671149],[0.06  0.16  0.71  0.97  0.15  0.05  0.1  0.07  0.24],[0.44444444 0.33333333 0.         0.         0.11111111 0. 0.11111111],"and, i've come to the conclusion, and this is a pretty scary thought to me, even, that if a guy is convicted , or a gal is convicted , of a crime, rather than put them in prison, because prison's proven  not to work, just let them go."
173415:33,0.5711111111111111,0.12358765432098766,0.7908875656246575,0.5734793422590927,(0.7908875656246575  0.5734793422590927),[0.92121591 0.30002946],[0.05677026655204857  0.15149038188827896],[0.55  0.85  0.37  0.0  1.0  1.0  0.83  0.43  0.11],[0.11111111 0.         0.11111111 0.22222222 0.         0.22222222 0.22222222],"and, uh, i think either send them home or do something a little more interesting."
50432:162,0.2644444444444444,0.10878024691358024,0.11719608333032933,0.29865896639506645,(0.11719608333032933  0.29865896639506645),[0.09428571 0.86000001],[0.06916771867337161  0.0007071067811865475],[0.21  0.03  0.86  0.0  0.86  0.21  0.01  0.0  0.2],[0.22222222 0.33333333 0.         0.         0.         0. 0.22222222],"it's, it's, uh, there, there is, there is, it 's an overall problem in, in, in this country understanding, uh, foreign cultures, or even accepting them."
170868:28,0.36444444444444446,0.1114246913580247,0.5061354313355241,2.421750753383063,(0.5061354313355241  2.421750753383063),[0.03144112 0.62255626],[0.03174054747170585  0.14774385288343153],[0.0  0.11  0.98  0.54  0.7  0.0  0.39  0.54  0.02],[0.22222222 0.         0.11111111 0.22222222 0.11111111 0. 0.11111111],"if they're associated  with a college or a university, they're usually a pretty good bet."
149373:37,0.57,0.13342222222222222,0.5843643626268525,0.3995192282388449,(0.5843643626268525  0.3995192282388449),[0.10470678 0.80100129],[0.09680741293432502  0.12147572276016853],[0.51  1.0  0.89  0.75  0.02  0.96  0.29  0.0  0.71],[0.11111111 0.         0.11111111 0.11111111 0.11111111 0.11111111 0.33333333],"you know, i saw something  on c n n or on cable here a while ago that  showed some people that  had rabbits in apartments and in houses,"
125370:17,0.4822222222222222,0.14550617283950615,1.4240021738486872,0.690652932132682,(1.4240021738486872  0.690652932132682),[0.79762262 0.08747157],[0.13298648556979364  0.0388567592613276],[0.94  0.0  0.11  0.97  0.54  0.09  0.94  0.6  0.15],[0.22222222 0.11111111 0.         0.11111111 0.11111111 0. 0.33333333],"has that been the cutlass or the sierra."
6724:57:00,0.5477777777777778,0.058550617283950626,0.764571851506739,0.9478592850204849,(0.764571851506739  0.9478592850204849),[0.77807821 0.3570703 ],[0.08900851788138082  0.08254326714835138],[0.65  0.51  0.72  0.34  0.21  0.83  0.95  0.27  0.45],[0.         0.22222222 0.11111111 0.22222222 0.11111111 0.22222222 0.11111111],"they could send all the people over to, uh, you know, one particular part of town or one particular project, that somebody had paid somebody to, you know, get supported  ,"
123561:35,0.5622222222222223,0.1040395061728395,0.45826459811357817,0.19610233988935813,(0.45826459811357817  0.19610233988935813),[0.72285714 0.        ],[0.09394142256220753  0.0007071067811865475],[0.89  0.0  0.82  0.73  0.58  0.79  0.48  0.0  0.77],[0.         0.         0.         0.11111111 0.11111111 0.44444444 0.11111111],"i've never been a big saints fan until the last year or two."
107053:97,0.24888888888888885,0.10158765432098767,0.4351683000203944,1.040804986994515,(0.4351683000203944  1.040804986994515),[0.04373742 0.60127879],[0.036587784327630685  0.19367148191562103],[0.04  0.16  0.98  0.55  0.42  0.02  0.0  0.0  0.07],[0.33333333 0.11111111 0.11111111 0.11111111 0.         0. 0.11111111],"and then at the end of the, of the period, pay period, if she has any left , that much is for fun or entertainment."
107841:9,0.6877777777777777,0.1421283950617284,0.31087831713142183,0.12332961198698342,(0.31087831713142183  0.12332961198698342),[0.88  0.015],[0.09071423121637019  0.003605551197973265],[0.99  0.83  0.01  0.92  0.62  0.02  0.99  0.81  1.0],[0.22222222 0.         0.         0.         0.11111111 0.22222222 0.44444444],"right or wrong i'm going  to cast a ballot"
106206:40,0.23888888888888887,0.10743209876543208,0.06221642041332917,0.1686681680376409,(0.06221642041332917  0.1686681680376409),[0.06857143 0.83500001],[0.061349536529974553  0.010630156746644642],[0.01  0.82  0.05  0.09  0.04  0.85  0.02  0.27  0.0],[0.55555556 0.11111111 0.         0.         0.         0.22222222 0.        ],"i eat differently than what i could eat  at home or around here."
95853:89,0.30999999999999994,0.07057777777777777,0.8405406233682291,1.7121784737368324,(0.8405406233682291  1.7121784737368324),[0.23125011 0.94      ],[0.10859791083105934  0.0007071067811865475],[0.49  0.46  0.25  0.2  0.02  0.94  0.13  0.15  0.15],[0.22222222 0.44444444 0.         0.22222222 0.         0. 0.11111111],"and, and i'm not sure but what some of the insurance claims aren't due to, uh, illnesses brought on by drug abuse or alcohol abuse."
141145:35,0.5633333333333334,0.14993333333333336,1.3332948849351247,0.5856730363474936,(1.3332948849351247  0.5856730363474936),[0.82833333 0.03333333],[0.08341130571931198  0.017652509657365152],[0.93  0.0  0.04  0.92  0.78  0.06  0.85  0.59  0.9],[0.22222222 0.         0.         0.         0.11111111 0.22222222 0.33333333],"that is why we only do it once every five or ten years ."
68148:38,0.4233333333333333,0.09442222222222224,0.32666040772225646,0.5429689877257313,(0.32666040772225646  0.5429689877257313),[0.2183448  0.83333897],[0.0764425562914074  0.06227467145257135],[0.24  0.71  0.2  0.88  0.91  0.36  0.03  0.32  0.16],[0.11111111 0.33333333 0.22222222 0.         0.11111111 0. 0.22222222],"they just, uh, started it again, too just late, or, within the past few years."
77037:37,0.30888888888888894,0.09258765432098766,0.2544985126268911,0.5287492751585905,(0.2544985126268911  0.5287492751585905),[0.10654107 0.679622  ],[0.06346336277127707  0.13230116990331223],[0.15  0.48  0.02  0.1  0.01  0.1  0.87  0.29  0.76],[0.44444444 0.11111111 0.11111111 0.11111111 0.         0.11111111 0.11111111],"i, i've only talked to one or two."
72536:50,0.3744444444444444,0.1552469135802469,0.19134850755367946,0.2771056688079334,(0.19134850755367946  0.2771056688079334),[0.9033335 0.1100009],[0.0466720220053247  0.1022292137676673],[0.89  0.83  0.02  0.0  0.26  0.02  0.99  0.36  0.0],[0.22222222 0.11111111 0.11111111 0.         0.         0.11111111 0.22222222],"i like, uh, i like readers digest, believe it or not."
43724:70,0.6066666666666668,0.08537777777777779,4.283335609856737,0.41629206325063445,(4.283335609856737  0.41629206325063445),[0.01       0.68122663],[0.0007071067811865475  0.15165920273502786],[0.77  0.01  0.53  0.8  0.43  0.97  0.47  0.99  0.49],[0.11111111 0.         0.         0.44444444 0.         0.22222222 0.22222222],"if i ever get the hankering  to see something, i've got, i don't know, maybe about thirty or forty movies."
46484:121,0.5077777777777778,0.18297283950617282,0.10606473127718014,0.10223778164190737,(0.10606473127718014  0.10223778164190737),[0.88200001 0.04      ],[0.08042698502399806  0.028731516613923033],[0.0  0.67  0.0  0.97  0.88  0.9  0.99  0.09  0.07],[0.22222222 0.         0.         0.         0.11111111 0. 0.44444444],"but i was thinking boy, in dallas, if somebody asked me if there were places you wouldn't go  by yourself at night, i'd have  to set them down for about five or ten minutes  to list all the places out."
146409:30,0.6077777777777778,0.09875061728395061,0.5808429785332205,0.43620533400446804,(0.5808429785332205  0.43620533400446804),[0.86996712 0.29542558],[0.0736903373585698  0.10954219857178188],[0.85  0.21  0.68  0.39  0.45  0.86  0.09  0.98  0.96],[0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.33333333],"but it seems like there's only about four or five different ones,"
45097:54,0.7866666666666666,0.06531111111111111,0.5598146316744614,0.23141219988692963,(0.5598146316744614  0.23141219988692963),[0.44753955 0.95673105],[0.09706290567759641  0.03178245457716247],[0.5  1.0  0.92  0.58  0.26  0.99  0.95  1.0  0.88],[0.         0.11111111 0.         0.11111111 0.11111111 0. 0.66666667],"now some people object during primaries,  having  to declare a party, whether republican or democrat."
15370:23,0.7900000000000001,0.09731111111111111,91.60987727294857,0.7365007415132783,(91.60987727294857  0.7365007415132783),[0.94487697 0.26265112],[0.03761791784748368  0.17211558758042866],[0.92  0.99  1.0  0.95  0.02  0.48  0.94  0.98  0.83],[0.11111111 0.         0.         0.11111111 0.         0.11111111 0.66666667],"oh, i've done maybe four or five."
133422:57,0.23333333333333334,0.06844444444444443,0.23374179604616724,0.3034150467723428,(0.23374179604616724  0.3034150467723428),[0.10261542 0.68709054],[0.04970046433139501  0.10881004725427526],[0.15  0.24  0.84  0.07  0.1  0.04  0.54  0.01  0.11],[0.55555556 0.22222222 0.         0.11111111 0.         0.11111111 0.        ],"um, and the, the severity of the deficit picture already limits the options available or limits the degree of tax cutting you can do  without, uh,  bringing on, on serious problems for the longer term."
18522:67,0.6166666666666667,0.12666666666666668,1.0789687804752854,0.4067896256290494,(1.0789687804752854  0.4067896256290494),[0.2325006  0.92400006],[0.08893850546267537  0.03758323852938367],[0.13  0.32  0.09  0.91  0.86  0.39  0.97  1.0  0.88],[0.22222222 0.         0.22222222 0.         0.         0. 0.55555556],"they don't, they don't even start  growing until may, may or april, like after it's been raining for a few months."
38195:38,0.41333333333333333,0.1192,1.0412797643420677,0.4466638677509006,(1.0412797643420677  0.4466638677509006),[0.12000686 0.78000177],[0.08137724017540594  0.06946600234210572],[0.26  0.09  0.25  0.0  0.88  0.65  0.72  0.0  0.87],[0.11111111 0.22222222 0.         0.         0.11111111 0.11111111 0.22222222],"so, uh, does your husband ever use, uh, a laptop or a notebook."
17758:53,0.5055555555555555,0.18013580246913577,0.10039266050805515,0.1134439764445355,(0.10039266050805515  0.1134439764445355),[0.97250001 0.132     ],[0.023127359621703644  0.06861850998434046],[0.19  0.2  0.24  0.02  1.0  1.0  0.01  0.97  0.92],[0.22222222 0.33333333 0.         0.         0.         0. 0.44444444],"i haven't decided whether, whether i want  to play yet or not."
44437:69,0.18666666666666665,0.07175555555555554,0.13218925037234225,0.5417382141506444,(0.13218925037234225  0.5417382141506444),[0.65793342 0.05130905],[0.11519991961973863  0.036275876835271184],[0.5  0.09  0.0  0.02  0.04  0.03  0.82  0.02  0.16],[0.55555556 0.11111111 0.         0.11111111 0.         0.11111111 0.        ],"i think they tend  to be more educated, much more, educated than, than africa or the latin american countries."
134989:25,0.5133333333333333,0.17471111111111112,0.11968570663384287,0.10698697812945782,(0.11968570663384287  0.10698697812945782),[0.88000001 0.055     ],[0.074434530480651  0.02372762099614044],[0.02  0.04  0.11  0.79  1.0  0.05  0.98  0.73  0.9],[0.44444444 0.         0.         0.         0.         0.22222222 0.33333333],"i don't know if that took or not,"
